pool_dir,sample,cells,droplets
iMG1_downsampled,GALC_asyn_1,3381,5916
iMG1_downsampled,GALC_myelin_1,2426,4245
iMG1_downsampled,GALC_untreated_1,2431,4254
iMG1_downsampled,GBA_asyn_1,2632,4606
iMG1_downsampled,GBA_myelin_1,2902,5078
iMG1_downsampled,GBA_untreated_1,2564,4487
iMG1_downsampled,GRN_asyn_1,2660,4655
iMG1_downsampled,GRN_myelin_1,2676,4683
iMG1_downsampled,GRN_untreated_1,2685,4698
iMG1_downsampled,KOLF_asyn_1,3281,5741
iMG1_downsampled,KOLF_myelin_1,2635,4611
iMG1_downsampled,KOLF_untreated_1,2696,4718
iMG1_downsampled,LRRK2_asyn_1,3512,6146
iMG1_downsampled,LRRK2_myelin_1,4085,7148
iMG1_downsampled,LRRK2_untreated_1,3059,5353
iMG1_redo_downsampled,GALC_asyn_1_redo,4600,8050
iMG1_redo_downsampled,GALC_myelin_1_redo,3439,6018
iMG1_redo_downsampled,GALC_untreated_1_redo,3438,6016
iMG1_redo_downsampled,GBA_asyn_1_redo,3677,6434
iMG1_redo_downsampled,GBA_myelin_1_redo,4289,7505
iMG1_redo_downsampled,GBA_untreated_1_redo,3651,6389
iMG1_redo_downsampled,GRN_asyn_1_redo,3757,6574
iMG1_redo_downsampled,GRN_myelin_1_redo,3978,6961
iMG1_redo_downsampled,GRN_untreated_1_redo,3744,6552
iMG1_redo_downsampled,KOLF_asyn_1_redo,4689,8205
iMG1_redo_downsampled,KOLF_myelin_1_redo,3716,6503
iMG1_redo_downsampled,KOLF_untreated_1_redo,4136,7238
iMG1_redo_downsampled,LRRK2_asyn_1_redo,4941,8646
iMG1_redo_downsampled,LRRK2_myelin_1_redo,5999,10498
iMG1_redo_downsampled,LRRK2_untreated_1_redo,4372,7651
iMG2,GALC_asyn_2,9423,16490
iMG2,GALC_myelin_2,8339,14593
iMG2,GALC_untreated_2,8268,14469
iMG2,GBA_asyn_2,11021,19286
iMG2,GBA_myelin_2,11116,19453
iMG2,GBA_untreated_2,11959,20928
iMG2,GRN_asyn_2,10002,17503
iMG2,GRN_myelin_2,10234,17909
iMG2,GRN_untreated_2,10453,18292
iMG2,KOLF_asyn_2,13632,23856
iMG2,KOLF_myelin_2,13795,24141
iMG2,KOLF_untreated_2,10399,18198
iMG2,LRRK2_asyn_2,8903,15580
iMG2,LRRK2_myelin_2,9487,16602
iMG2,LRRK2_untreated_2,9600,16800
iMG3_downsampled,GALC_asyn_3,13820,24185
iMG3_downsampled,GALC_myelin_3,11540,20195
iMG3_downsampled,GALC_untreated_3,9709,16990
iMG3_downsampled,GBA_asyn_3,8216,14378
iMG3_downsampled,GBA_myelin_3,6578,11511
iMG3_downsampled,GBA_untreated_3,6134,10734
iMG3_downsampled,GRN_asyn_3,13795,24141
iMG3_downsampled,GRN_myelin_3,13594,23789
iMG3_downsampled,GRN_untreated_3,12906,22585
iMG3_downsampled,KOLF_asyn_3,9283,16245
iMG3_downsampled,KOLF_myelin_3,9522,16663
iMG3_downsampled,KOLF_untreated_3,8411,14719
iMG3_downsampled,LRRK2_asyn_3,13324,23317
iMG3_downsampled,LRRK2_myelin_3,15482,27093
iMG3_downsampled,LRRK2_untreated_3,13736,24038
iMG4_downsampled,GALC_asyn_4,3674,6429
iMG4_downsampled,GALC_myelin_4,3858,6751
iMG4_downsampled,GALC_untreated_4,3395,5941
iMG4_downsampled,GBA_asyn_4,5880,10290
iMG4_downsampled,GBA_myelin_4,5474,9579
iMG4_downsampled,GBA_untreated_4,4406,7710
iMG4_downsampled,GRN_asyn_4,4905,8583
iMG4_downsampled,GRN_myelin_4,5639,9868
iMG4_downsampled,GRN_untreated_4,5024,8792
iMG4_downsampled,KOLF_asyn_4,7364,12887
iMG4_downsampled,KOLF_myelin_4,7394,12939
iMG4_downsampled,KOLF_untreated_4,8289,14505
iMG4_downsampled,LRRK2_asyn_4,3989,6980
iMG4_downsampled,LRRK2_myelin_4,4527,7922
iMG4_downsampled,LRRK2_untreated_4,4292,7511
