id,genotype,treatment,date,barcodes,batch,fastq_dirs
KOLF_untreated_1,KOLF,untreated,10/9/2024,1,1,
GALC_untreated_1,GALC,untreated,10/9/2024,2,1,
GBA_untreated_1,GBA,untreated,10/9/2024,3,1,
GRN_untreated_1,GRN,untreated,10/9/2024,4,1,
LRRK2_untreated_1,LRRK2,untreated,10/9/2024,5,1,
KOLF_myelin_1,KOLF,myelin,10/9/2024,6,1,
GALC_myelin_1,GALC,myelin,10/9/2024,7,1,
GBA_myelin_1,GBA,myelin,10/9/2024,8,1,
GRN_myelin_1,GRN,myelin,10/9/2024,9,1,
LRRK2_myelin_1,LRRK2,myelin,10/9/2024,10,1,
KOLF_asyn_1,KOLF,asyn,10/9/2024,11|16,1,
GALC_asyn_1,GALC,asyn,10/9/2024,12,1,
GBA_asyn_1,GBA,asyn,10/9/2024,13,1,
GRN_asyn_1,GRN,asyn,10/9/2024,14,1,
LRRK2_asyn_1,LRRK2,asyn,10/9/2024,15,1,
KOLF_untreated_2,KOLF,untreated,10/18/2024,1,2,
KOLF_asyn_2,KOLF,asyn,10/18/2024,2,2,
KOLF_myelin_2,KOLF,myelin,10/18/2024,3,2,
GALC_untreated_2,GALC,untreated,10/18/2024,4,2,
GALC_asyn_2,GALC,asyn,10/18/2024,5,2,
GALC_myelin_2,GALC,myelin,10/18/2024,6,2,
GBA_untreated_2,GBA,untreated,10/18/2024,7,2,
GBA_asyn_2,GBA,asyn,10/18/2024,8,2,
GBA_myelin_2,GBA,myelin,10/18/2024,9,2,
GRN_untreated_2,GRN,untreated,10/18/2024,10,2,
GRN_asyn_2,GRN,asyn,10/18/2024,11,2,
GRN_myelin_2,GRN,myelin,10/18/2024,12,2,
LRRK2_untreated_2,LRRK2,untreated,10/18/2024,13,2,
LRRK2_asyn_2,LRRK2,asyn,10/18/2024,14|15,2,
LRRK2_myelin_2,LRRK2,myelin,10/18/2024,16,2,
KOLF_untreated_3,KOLF,untreated,10/24/2026,1,3,
KOLF_asyn_3,KOLF,asyn,10/24/2026,2,3,
KOLF_myelin_3,KOLF,myelin,10/24/2026,3,3,
GALC_untreated_3,GALC,untreated,10/24/2026,4,3,
GALC_asyn_3,GALC,asyn,10/24/2026,5,3,
GALC_myelin_3,GALC,myelin,10/24/2026,6|7,3,
GBA_untreated_3,GBA,untreated,10/24/2026,8,3,
GBA_asyn_3,GBA,asyn,10/24/2026,9,3,
GBA_myelin_3,GBA,myelin,10/24/2026,10,3,
GRN_untreated_3,GRN,untreated,10/24/2026,11,3,
GRN_asyn_3,GRN,asyn,10/24/2026,12,3,
GRN_myelin_3,GRN,myelin,10/24/2026,13,3,
LRRK2_untreated_3,LRRK2,untreated,10/24/2026,14,3,
LRRK2_asyn_3,LRRK2,asyn,10/24/2026,15,3,
LRRK2_myelin_3,LRRK2,myelin,10/24/2026,16,3,
KOLF_untreated_4,KOLF,untreated,12/19/2024,1,4,
GALC_untreated_4,GALC,untreated,12/19/2024,2|16,4,
GBA_untreated_4,GBA,untreated,12/19/2024,3,4,
GRN_untreated_4,GRN,untreated,12/19/2024,4,4,
LRRK2_untreated_4,LRRK2,untreated,12/19/2024,5,4,
KOLF_myelin_4,KOLF,myelin,12/19/2024,6,4,
GALC_myelin_4,GALC,myelin,12/19/2024,7,4,
GBA_myelin_4,GBA,myelin,12/19/2024,8,4,
GRN_myelin_4,GRN,myelin,12/19/2024,9,4,
LRRK2_myelin_4,LRRK2,myelin,12/19/2024,10,4,
KOLF_asyn_4,KOLF,asyn,12/19/2024,11,4,
GALC_asyn_4,GALC,asyn,12/19/2024,12,4,
GBA_asyn_4,GBA,asyn,12/19/2024,13,4,
GRN_asyn_4,GRN,asyn,12/19/2024,14,4,
LRRK2_asyn_4,LRRK2,asyn,12/19/2024,15,4,
